geneName	family
PGSC0003DMT400000002	1
PGSC0003DMT400058582	1
PGSC0003DMT400000700	1
PGSC0003DMT400000009	2
PGSC0003DMT400010867	2
PGSC0003DMT400032620	2
PGSC0003DMT400058570	2
PGSC0003DMT400056104	2
PGSC0003DMT400000010	3
PGSC0003DMT400018036	3
PGSC0003DMT400026571	3
PGSC0003DMT400000012	4
PGSC0003DMT400018409	4
PGSC0003DMT400000034	6
PGSC0003DMT400026577	6
PGSC0003DMT400038065	6
PGSC0003DMT400000042	8
PGSC0003DMT400000049	8
PGSC0003DMT400000051	8
PGSC0003DMT400061073	8
PGSC0003DMT400061076	8
PGSC0003DMT400000043	9
PGSC0003DMT400000054	9
PGSC0003DMT400004521	9
PGSC0003DMT400004567	9
PGSC0003DMT400004585	9
PGSC0003DMT400066411	9
PGSC0003DMT400066419	9
PGSC0003DMT400066414	9
PGSC0003DMT400066409	9
PGSC0003DMT400066424	9
PGSC0003DMT400000083	10
PGSC0003DMT400012169	10
PGSC0003DMT400049589	10
PGSC0003DMT400000098	12
PGSC0003DMT400037089	12
PGSC0003DMT400000701	12
PGSC0003DMT400055754	12
PGSC0003DMT400000108	14
PGSC0003DMT400011904	14
PGSC0003DMT400014804	14
PGSC0003DMT400029745	14
PGSC0003DMT400046026	14
PGSC0003DMT400055029	14
PGSC0003DMT400060862	14
PGSC0003DMT400060959	14
PGSC0003DMT400065015	14
PGSC0003DMT400011903	14
PGSC0003DMT400013490	14
PGSC0003DMT400087204	14
PGSC0003DMT400023971	14
PGSC0003DMT400089685	14
PGSC0003DMT400025225	14
PGSC0003DMT400000129	15
PGSC0003DMT400000479	15
PGSC0003DMT400000572	15
PGSC0003DMT400000130	16
PGSC0003DMT400040827	16
PGSC0003DMT400000136	17
PGSC0003DMT400005554	17
PGSC0003DMT400067654	17
PGSC0003DMT400049230	17
PGSC0003DMT400025800	17
PGSC0003DMT400047997	17
PGSC0003DMT400000151	18
PGSC0003DMT400009240	18
PGSC0003DMT400012780	18
PGSC0003DMT400014809	18
PGSC0003DMT400015824	18
PGSC0003DMT400020870	18
PGSC0003DMT400027154	18
PGSC0003DMT400032134	18
PGSC0003DMT400053479	18
PGSC0003DMT400053877	18
PGSC0003DMT400053881	18
PGSC0003DMT400053882	18
PGSC0003DMT400060322	18
PGSC0003DMT400062174	18
PGSC0003DMT400068708	18
PGSC0003DMT400064008	18
PGSC0003DMT400000154	20
PGSC0003DMT400053793	20
PGSC0003DMT400000158	22
PGSC0003DMT400000574	22
PGSC0003DMT400000163	23
PGSC0003DMT400000473	23
PGSC0003DMT400000575	23
PGSC0003DMT400000176	24
