geneName	family
PGSC0003DMT400001108	1
PGSC0003DMT400018455	1
PGSC0003DMT400018456	1
PGSC0003DMT400022074	1
PGSC0003DMT400022099	1
PGSC0003DMT400043578	1
PGSC0003DMT400060096	1
PGSC0003DMT400070382	1
PGSC0003DMT400070383	1
PGSC0003DMT400074018	1
PGSC0003DMT400074020	1
PGSC0003DMT400074994	1
PGSC0003DMT400077939	1
PGSC0003DMT400095040	1
PGSC0003DMT400096604	1
PGSC0003DMT400086158	1
PGSC0003DMT400089335	1
PGSC0003DMT400096787	1
PGSC0003DMT400035780	1
PGSC0003DMT400061646	1
PGSC0003DMT400084885	1
PGSC0003DMT400085822	1
PGSC0003DMT400086535	1
PGSC0003DMT400088819	1
PGSC0003DMT400089004	1
PGSC0003DMT400089028	1
PGSC0003DMT400089645	1
PGSC0003DMT400089895	1
PGSC0003DMT400090137	1
PGSC0003DMT400091547	1
PGSC0003DMT400091553	1
PGSC0003DMT400091856	1
PGSC0003DMT400092143	1
PGSC0003DMT400092908	1
PGSC0003DMT400093521	1
PGSC0003DMT400093574	1
PGSC0003DMT400094061	1
PGSC0003DMT400094351	1
PGSC0003DMT400094810	1
PGSC0003DMT400094956	1
PGSC0003DMT400095185	1
PGSC0003DMT400095206	1
PGSC0003DMT400095228	1
PGSC0003DMT400095334	1
PGSC0003DMT400095555	1
PGSC0003DMT400096540	1
PGSC0003DMT400096543	1
PGSC0003DMT400096672	1
PGSC0003DMT400096859	1
PGSC0003DMT400097057	1
PGSC0003DMT400097240	1
PGSC0003DMT400088579	1
PGSC0003DMT400032183	1
PGSC0003DMT400041361	1
PGSC0003DMT400084878	1
PGSC0003DMT400084895	1
PGSC0003DMT400084975	1
PGSC0003DMT400084992	1
PGSC0003DMT400085275	1
PGSC0003DMT400085565	1
PGSC0003DMT400085696	1
PGSC0003DMT400086102	1
PGSC0003DMT400086107	1
PGSC0003DMT400086133	1
PGSC0003DMT400086175	1
PGSC0003DMT400086347	1
PGSC0003DMT400086613	1
PGSC0003DMT400086750	1
PGSC0003DMT400087050	1
PGSC0003DMT400087066	1
PGSC0003DMT400087221	1
PGSC0003DMT400087426	1
PGSC0003DMT400089013	1
PGSC0003DMT400089059	1
PGSC0003DMT400089489	1
PGSC0003DMT400089672	1
PGSC0003DMT400090046	1
PGSC0003DMT400090151	1
PGSC0003DMT400090209	1
PGSC0003DMT400090427	1
PGSC0003DMT400090464	1
PGSC0003DMT400090705	1
PGSC0003DMT400090870	1
PGSC0003DMT400090897	1
PGSC0003DMT400091654	1
PGSC0003DMT400092277	1
PGSC0003DMT400093133	1
PGSC0003DMT400093304	1
PGSC0003DMT400093450	1
PGSC0003DMT400093651	1
PGSC0003DMT400093808	1
PGSC0003DMT400093886	1
PGSC0003DMT400094593	1
PGSC0003DMT400095307	1
PGSC0003DMT400096027	1
PGSC0003DMT400096339	1
PGSC0003DMT400096379	1
PGSC0003DMT400096773	1
PGSC0003DMT400096916	1
PGSC0003DMT400097035	1
PGSC0003DMT400097466	1
PGSC0003DMT400097549	1
PGSC0003DMT400097593	1
PGSC0003DMT400097626	1
PGSC0003DMT400097720	1
PGSC0003DMT400087564	1
PGSC0003DMT400096163	1
PGSC0003DMT400085348	1
PGSC0003DMT400089039	1
PGSC0003DMT400090996	1
PGSC0003DMT400092740	1
PGSC0003DMT400093638	1
PGSC0003DMT400093762	1
PGSC0003DMT400096307	1
PGSC0003DMT400084759	1
PGSC0003DMT400084810	1
